19,25.4,Jimmy Butler,"SF,PF",MIA,65,33.3,"0.511

(7.0/13.6)","0.859

(6.9/8.0)",0.5,21.3,5.7,5.0,1.6,0.4,1.8,7.19
20,26.9,Kawhi Leonard,"SG,SF",LAC,56,33.4,"0.504

(8.4/16.7)","0.863

(4.4/5.1)",1.9,23.2,6.2,3.7,1.3,0.5,1.7,7.17
21,6.7,Giannis Antetokounmpo,"PF,C",MIL,65,32.0,"0.565

(9.7/17.1)","0.683

(8.0/11.8)",0.9,28.3,11.6,5.7,1.1,1.0,3.4,7.07
22,23.7,Karl-Anthony Towns,"PF,C",MIN,70,32.9,"0.498

(7.5/15.0)","0.849

(4.4/5.2)",2.1,21.4,8.5,4.6,0.7,0.7,2.8,6.63
23,14.6,Anthony Edwards,"SG,SF",MIN,76,35.8,"0.464

(9.2/19.9)","0.769

(4.3/5.6)",3.0,25.8,5.7,4.8,1.6,0.7,3.2,6.60
24,19.3,Mikal Bridges,"SG,SF",BKN,80,35.6,"0.475

(9.1/19.2)","0.880

(4.7/5.4)",2.4,25.4,4.6,3.4,1.1,0.6,1.8,6.54
25,26.5,Lauri Markkanen,"SF,PF",UTA,66,33.4,"0.489

(8.0/16.4)","0.870

(5.0/5.7)",2.9,23.9,8.0,1.9,0.7,0.6,1.9,6.48
26,24.4,Desmond Bane,"SG,SF",MEM,70,32.1,"0.470

(8.2/17.6)","0.890

(2.8/3.1)",3.4,22.6,5.4,4.0,1.2,0.4,2.2,6.45
27,31.1,Paul George,"SG,SF,PF",LAC,60,34.6,"0.443

(8.0/18.1)","0.867

(4.2/4.9)",2.8,23.0,6.1,5.0,1.5,0.4,3.3,6.31
28,32.5,Bam Adebayo,C,MIA,72,34.1,"0.536

(7.9/14.7)","0.803

(4.5/5.6)",0.0,20.2,9.8,3.5,1.3,0.8,2.6,5.98
29,24.9,LeBron James,"SF,PF",LAL,56,34.0,"0.501

(10.1/20.1)","0.761

(4.2/5.5)",2.3,26.7,7.6,6.0,0.8,0.5,3.1,5.95
30,43.5,Kristaps Porzingis,"PF,C",BOS,60,31.1,"0.478

(6.5/13.5)","0.852

(4.0/4.7)",1.8,18.7,7.9,2.1,0.8,1.5,1.8,5.81
31,37.6,Myles Turner,C,IND,64,29.5,"0.534

(5.9/11.0)","0.774

(2.9/3.7)",1.5,16.1,7.4,1.3,0.6,2.3,1.5,5.81
32,40.6,Darius Garland,PG,CLE,69,35.6,"0.462

(7.8/17.0)","0.877

(3.6/4.1)",2.5,21.8,3.0,7.8,1.2,0.1,3.0,5.48
33,47.6,DeMar DeRozan,SG,CHI,74,35.8,"0.504

(9.1/18.0)","0.870

(6.0/6.9)",0.6,24.7,4.6,4.9,1.0,0.4,2.1,5.47
34,27.9,Fred VanVleet,PG,HOU,67,34.2,"0.400

(6.1/15.3)","0.888

(3.1/3.5)",3.1,18.4,3.9,6.4,1.6,0.5,2.1,5.42
35,33.1,Dejounte Murray,"PG,SG",ATL,74,35.8,"0.463

(8.5/18.3)","0.822

(2.1/2.6)",1.6,20.7,6.5,6.4,1.6,0.3,2.2,5.37
36,36.6,Jaylen Brown,"SG,SF",BOS,69,35.6,"0.494

(10.0/20.2)","0.769

(3.9/5.1)",2.6,26.4,6.7,3.6,1.1,0.3,2.9,4.98
37,36.7,Jalen Brunson,PG,NY,72,34.9,"0.492

(9.0/18.3)","0.832

(4.2/5.0)",2.0,24.2,3.7,6.5,1.0,0.2,2.2,4.77
38,28.2,Victor Wembanyama,"PF,C",SA,65,30.0,"0.459

(6.7/14.5)","0.783

(3.6/4.6)",1.0,17.9,8.2,2.0,0.7,2.3,1.8,4.75
39,50.4,Zach LaVine,"SG,SF",CHI,74,35.6,"0.481

(8.7/18.2)","0.850

(4.8/5.7)",2.6,24.9,4.4,4.3,0.8,0.3,2.6,4.67
40,51.2,OG Anunoby,"SG,SF",TOR,68,33.9,"0.465

(7.3/15.6)","0.808

(2.0/2.5)",2.2,18.7,5.1,2.7,1.7,0.7,1.8,4.43
41,35.3,Cade Cunningham,"PG,SG",DET,65,33.8,"0.422

(7.9/18.8)","0.838

(3.2/3.8)",1.8,20.9,6.4,6.6,1.3,0.7,3.3,4.40
42,38.2,De'Aaron Fox,PG,SAC,70,33.5,"0.496

(9.4/18.9)","0.774

(4.7/6.1)",1.6,25.1,4.2,6.1,1.2,0.4,2.7,4.37
43,42.1,Evan Mobley,"PF,C",CLE,76,34.6,"0.551

(7.1/12.9)","0.682

(2.7/4.0)",0.3,17.2,9.3,2.9,0.9,1.7,1.9,4.35
44,41.7,Jamal Murray,"PG,SG",DEN,70,33.3,"0.466

(7.8/16.6)","0.833

(2.8/3.4)",2.7,21.0,4.1,6.3,1.0,0.3,2.3,4.35
45,50.7,Walker Kessler,C,UTA,74,28.8,"0.720

(4.9/6.8)","0.515

(1.4/2.6)",0.0,11.2,10.3,1.1,0.4,2.7,1.0,4.29
46,57.2,Tyrese Maxey,"PG,SG",PHI,70,34.2,"0.485

(7.8/16.0)","0.857

(3.1/3.6)",2.9,21.5,3.3,4.4,0.8,0.3,1.3,4.27
47,43.7,Nikola Vucevic,C,CHI,74,33.0,"0.490

(7.2/14.8)","0.806

(1.5/1.8)",1.5,17.4,11.0,3.2,0.7,0.7,1.8,4.18
48,55.2,Nicolas Claxton,C,BKN,75,31.0,"0.657

(5.1/7.8)","0.573

(1.7/3.0)",0.0,12.0,9.1,1.8,0.8,2.4,1.3,4.14
49,49.2,Jordan Poole,"PG,SG",WAS,78,33.5,"0.438

(8.3/19.0)","0.891

(4.3/4.9)",3.1,24.0,3.5,4.8,0.9,0.3,3.1,4.12
50,49.2,Deandre Ayton,C,POR,69,31.6,"0.582

(8.3/14.2)","0.756

(2.2/3.0)",0.1,18.9,10.1,1.7,0.7,0.8,1.8,4.01
51,29.3,Pascal Siakam,"PF,C",TOR,70,35.4,"0.478

(8.2/17.2)","0.770

(4.5/5.8)",1.2,22.1,7.8,5.7,1.0,0.5,2.4,3.96
52,40.9,Jrue Holiday,"PG,SG",BOS,67,32.4,"0.479

(6.0/12.6)","0.808

(2.2/2.7)",2.2,16.3,4.8,5.1,1.4,0.4,2.8,3.77
53,48.5,Chet Holmgren,"PF,C",OKC,64,29.7,"0.480

(5.0/10.4)","0.752

(3.0/4.0)",1.3,14.3,9.2,1.6,0.5,2.0,1.2,3.73
54,52.4,Brandon Ingram,"SG,SF,PF",NO,60,34.2,"0.472

(8.3/17.7)","0.851

(4.9/5.8)",1.3,23.0,5.5,5.5,0.7,0.4,2.9,3.72
55,56.1,Zion Williamson,"PF,C",NO,52,33.1,"0.606

(9.6/15.9)","0.705

(5.9/8.4)",0.2,25.3,6.8,4.5,1.0,0.5,3.4,3.65
